idcar_200m,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,geometry,h3_index
CRS3035RES200mN2887000E3768400,13.0,5.3,0.1,1.5,0.5,3.7,0.1,622205.6,648.3,2.5,2.8,4.7,0.1,0.4,0.1,0.0,0.0,0.4,0.5,0.2,1.4,1.3,1.3,2.2,2.4,2.5,0.8,0.0,"POLYGON ((2.459069 48.841448, 2.458796 48.843237, 2.461508 48.843421, 2.461781 48.841632, 2.459069 48.841448))",891fb466b57ffff
CRS3035RES200mN2886600E3766400,151.5,72.0,0.0,29.0,1.0,0.0,4.0,4739091.8,6370.0,70.0,2.0,72.0,0.0,0.0,0.0,0.0,0.0,9.5,2.0,2.0,14.0,16.0,52.0,48.0,8.0,0.0,0.0,0.0,"POLYGON ((2.432495 48.83603, 2.432221 48.837818, 2.434933 48.838003, 2.435207 48.836215, 2.432495 48.83603))",891fb466a4fffff
CRS3035RES200mN2886600E3766800,7.0,2.2,0.5,0.8,0.5,0.0,0.0,147328.9,229.3,1.9,0.3,1.4,0.1,0.2,0.3,0.2,0.0,0.3,0.2,0.2,0.6,0.8,0.3,1.5,1.4,0.0,0.0,1.7,"POLYGON ((2.437919 48.836399, 2.437645 48.838187, 2.440357 48.838371, 2.440631 48.836583, 2.437919 48.836399))",891fb466a7bffff
CRS3035RES200mN2886600E3767200,7.0,2.2,0.5,0.8,0.5,0.0,0.0,147328.9,229.3,1.9,0.3,1.4,0.1,0.2,0.3,0.2,0.0,0.3,0.2,0.2,0.6,0.8,0.3,1.5,1.4,0.0,0.0,1.7,"POLYGON ((2.443343 48.836768, 2.443069 48.838556, 2.445781 48.83874, 2.446054 48.836952, 2.443343 48.836768))",891fb466a67ffff
CRS3035RES200mN2887200E3767800,54.5,28.0,2.0,10.0,0.0,13.0,4.0,2368225.1,2266.0,28.0,0.0,3.0,17.0,7.0,1.0,0.0,0.0,4.0,2.0,0.5,5.0,0.0,7.0,14.0,4.0,13.0,5.0,0.0,"POLYGON ((2.450659 48.842685, 2.450386 48.844473, 2.453098 48.844657, 2.453371 48.842869, 2.450659 48.842685))",891fb466a37ffff
CRS3035RES200mN2886600E3768200,1.0,0.4,0.0,0.1,0.0,0.3,0.0,37114.1,30.5,0.3,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,"POLYGON ((2.456902 48.837688, 2.456629 48.839476, 2.459342 48.83966, 2.459614 48.837872, 2.456902 48.837688))",891fb466b4bffff
CRS3035RES200mN2886400E3768000,5.0,1.8,0.2,0.5,0.2,1.4,0.2,185570.7,152.7,1.2,0.6,1.4,0.1,0.1,0.2,0.0,0.0,0.4,0.3,0.0,0.3,0.6,0.9,0.6,0.6,0.6,0.7,0.0,"POLYGON ((2.454463 48.835716, 2.45419 48.837504, 2.456902 48.837688, 2.457175 48.8359, 2.454463 48.835716))",891fb464c97ffff
CRS3035RES200mN2886400E3767400,13.0,4.0,0.9,1.4,0.9,0.0,0.0,273610.8,425.8,3.4,0.6,2.6,0.3,0.3,0.5,0.3,0.0,0.6,0.3,0.3,1.1,1.4,0.6,2.9,2.6,0.0,0.0,3.2,"POLYGON ((2.446328 48.835164, 2.446054 48.836952, 2.448766 48.837136, 2.44904 48.835348, 2.446328 48.835164))",891fb466a67ffff
CRS3035RES200mN2886000E3767600,15.0,4.7,1.0,1.7,1.0,0.0,0.0,315704.8,491.3,4.0,0.7,3.0,0.3,0.3,0.7,0.4,0.0,0.7,0.3,0.3,1.3,1.7,0.7,3.3,3.0,0.0,0.0,3.7,"POLYGON ((2.449586 48.831771, 2.449313 48.83356, 2.452024 48.833744, 2.452297 48.831956, 2.449586 48.831771))",891fb464c8bffff
CRS3035RES200mN2885600E3768000,1.0,0.4,0.0,0.1,0.0,0.3,0.0,41187.2,41.7,0.2,0.2,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.2,0.2,0.1,0.0,"POLYGON ((2.455555 48.828563, 2.455282 48.830351, 2.457993 48.830535, 2.458266 48.828747, 2.455555 48.828563))",891fb464c17ffff
CRS3035RES200mN2885000E3767400,3.0,1.0,0.1,0.2,0.1,0.6,0.1,115636.5,182.4,0.2,0.8,0.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.4,0.3,0.2,0.3,0.7,0.2,0.8,0.0,0.0,"POLYGON ((2.448239 48.822646, 2.447966 48.824435, 2.450678 48.824619, 2.450951 48.82283, 2.448239 48.822646))",891fb464c57ffff
CRS3035RES200mN2885000E3767000,4.0,1.4,0.1,0.3,0.1,0.8,0.1,154182.0,243.2,0.3,1.1,1.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.5,0.4,0.3,0.4,0.9,0.3,1.1,0.0,0.0,"POLYGON ((2.442817 48.822278, 2.442544 48.824066, 2.445255 48.82425, 2.445528 48.822462, 2.442817 48.822278))",891fb464127ffff
CRS3035RES200mN2886400E3766200,3.0,0.9,0.2,0.3,0.2,0.0,0.0,63141.0,98.3,0.8,0.1,0.6,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.1,0.7,0.6,0.0,0.0,0.7,"POLYGON ((2.430057 48.834057, 2.429783 48.835845, 2.432495 48.83603, 2.432769 48.834242, 2.430057 48.834057))",891fb4641b3ffff
CRS3035RES200mN2886000E3765800,1.0,0.5,0.0,0.2,0.0,0.3,0.0,43409.0,36.8,0.5,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.3,0.1,0.2,0.1,0.0,"POLYGON ((2.425181 48.830112, 2.424908 48.8319, 2.427619 48.832085, 2.427893 48.830296, 2.425181 48.830112))",891fb46418fffff
CRS3035RES200mN2885600E3765400,15.0,5.7,0.0,2.0,0.8,0.0,0.4,592654.2,427.7,4.9,0.8,5.7,0.0,0.0,0.0,0.0,0.0,0.8,0.8,2.0,0.4,0.8,2.4,5.3,2.5,0.0,0.0,0.0,"POLYGON ((2.420307 48.826166, 2.420033 48.827954, 2.422744 48.828139, 2.423018 48.826351, 2.420307 48.826166))",891fb4641c7ffff
CRS3035RES200mN2885600E3764600,3.0,1.5,0.1,0.6,0.1,0.8,0.1,114450.1,105.8,1.3,0.2,1.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.6,0.6,0.4,0.4,0.2,0.0,"POLYGON ((2.409462 48.825426, 2.409187 48.827214, 2.411899 48.827399, 2.412173 48.825611, 2.409462 48.825426))",891fb4641dbffff
CRS3035RES200mN2886200E3765200,4.0,1.9,0.0,0.8,0.1,1.3,0.2,173635.9,147.1,1.8,0.1,0.0,1.7,0.0,0.2,0.0,0.0,0.2,0.1,0.4,0.2,0.2,0.5,1.0,0.3,0.7,0.4,0.0,"POLYGON ((2.416773 48.831346, 2.416499 48.833134, 2.41921 48.833318, 2.419484 48.83153, 2.416773 48.831346))",891fb46419bffff
CRS3035RES200mN2886000E3764200,46.5,19.3,0.0,5.9,2.5,15.9,0.8,2313704.6,1943.8,15.1,4.2,4.2,7.5,0.0,7.6,0.0,0.0,2.5,0.8,2.5,2.1,5.0,5.9,9.2,10.9,7.6,0.0,0.0,"POLYGON ((2.40349 48.828632, 2.403215 48.83042, 2.405927 48.830605, 2.406201 48.828817, 2.40349 48.828632))",891fb4640a3ffff
CRS3035RES200mN2886400E3764400,648.5,387.0,57.0,227.0,8.0,0.0,55.0,15154934.1,16536.0,387.0,0.0,383.0,0.0,0.0,1.0,3.0,384.0,31.5,9.0,34.5,43.5,27.0,124.0,149.0,116.0,80.0,34.0,0.0,"POLYGON ((2.405652 48.832393, 2.405378 48.834181, 2.408089 48.834367, 2.408364 48.832579, 2.405652 48.832393))",891fb4640b7ffff
CRS3035RES200mN2886400E3764200,752.5,459.0,98.0,321.0,18.0,5.0,40.0,14982292.0,15577.0,457.0,2.0,458.0,0.0,0.0,1.0,0.0,454.0,37.0,13.0,37.0,38.5,18.0,108.0,188.0,117.0,143.0,38.0,15.0,"POLYGON ((2.402941 48.832208, 2.402666 48.833996, 2.405378 48.834181, 2.405652 48.832393, 2.402941 48.832208))",891fb4640b7ffff
CRS3035RES200mN2886600E3764200,1615.5,781.0,109.0,372.0,43.0,313.0,74.0,52638538.4,44244.0,769.0,12.0,279.0,58.0,91.0,353.0,0.0,166.0,68.5,32.5,76.0,112.0,119.5,416.0,314.0,219.0,185.0,71.0,2.0,"POLYGON ((2.402666 48.833996, 2.402391 48.835784, 2.405103 48.83597, 2.405378 48.834181, 2.402666 48.833996))",891fb46454fffff
CRS3035RES200mN2886600E3764400,677.0,359.0,47.0,178.0,15.0,42.0,52.0,18160416.2,18165.0,355.0,4.0,289.0,0.0,0.0,69.0,1.0,227.0,23.0,5.0,29.0,50.0,51.0,128.0,154.0,87.0,103.0,47.0,0.0,"POLYGON ((2.405378 48.834181, 2.405103 48.83597, 2.407815 48.836155, 2.408089 48.834367, 2.405378 48.834181))",891fb46457bffff
CRS3035RES200mN2886600E3764600,350.0,175.0,27.0,84.0,7.0,0.0,20.0,9311830.1,10047.0,175.0,0.0,166.0,0.0,9.0,0.0,0.0,166.0,9.0,7.0,19.0,35.5,24.5,47.0,82.0,59.0,53.0,14.0,0.0,"POLYGON ((2.408089 48.834367, 2.407815 48.836155, 2.410526 48.83634, 2.410801 48.834552, 2.408089 48.834367))",891fb464563ffff
CRS3035RES200mN2886800E3764600,881.0,431.0,60.0,200.0,32.0,33.0,64.0,22268828.2,24950.0,431.0,0.0,358.0,0.0,33.0,39.0,1.0,375.0,30.5,18.0,53.5,71.0,47.0,141.0,165.0,140.0,155.0,60.0,0.0,"POLYGON ((2.407815 48.836155, 2.40754 48.837943, 2.410252 48.838128, 2.410526 48.83634, 2.407815 48.836155))",891fb464573ffff
CRS3035RES200mN2886800E3764400,1910.0,1006.0,111.0,499.0,25.0,499.0,76.0,72178740.6,57836.0,1000.0,6.0,511.0,177.0,148.0,170.0,0.0,74.0,97.0,33.0,73.0,119.0,117.0,461.0,362.0,236.0,269.0,143.0,0.0,"POLYGON ((2.405103 48.83597, 2.404828 48.837758, 2.40754 48.837943, 2.407815 48.836155, 2.405103 48.83597))",891fb464547ffff
CRS3035RES200mN2886800E3764200,1015.0,569.0,71.0,315.0,20.0,198.0,37.0,35067990.6,30252.0,565.0,4.0,354.0,50.0,58.0,107.0,0.0,79.0,29.0,10.5,40.0,62.0,69.5,280.0,202.0,146.0,121.0,55.0,0.0,"POLYGON ((2.402391 48.835784, 2.402116 48.837572, 2.404828 48.837758, 2.405103 48.83597, 2.402391 48.835784))",891fb464547ffff
CRS3035RES200mN2887000E3764200,1913.5,930.0,91.0,412.0,51.0,465.0,75.0,70392586.8,56699.0,923.0,7.0,290.0,345.0,142.0,153.0,0.0,147.0,106.0,43.0,89.5,143.0,100.5,471.5,374.0,221.0,255.0,110.0,0.0,"POLYGON ((2.402116 48.837572, 2.401842 48.83936, 2.404554 48.839546, 2.404828 48.837758, 2.402116 48.837572))",891fb464547ffff
CRS3035RES200mN2887000E3764400,861.0,483.0,85.0,276.0,22.0,111.0,69.0,22351440.7,23608.0,482.0,1.0,83.0,343.0,0.0,57.0,0.0,239.0,23.0,13.0,35.5,68.5,60.0,176.0,158.0,123.0,139.0,64.0,1.0,"POLYGON ((2.404828 48.837758, 2.404554 48.839546, 2.407265 48.839731, 2.40754 48.837943, 2.404828 48.837758))",891fb464547ffff
CRS3035RES200mN2887200E3764400,1403.0,659.0,56.0,283.0,39.0,199.0,89.0,47169201.6,41000.0,647.0,12.0,195.0,134.0,204.0,126.0,0.0,203.0,61.5,24.5,80.0,102.5,119.0,324.5,265.0,204.0,184.0,38.0,0.0,"POLYGON ((2.404554 48.839546, 2.404279 48.841334, 2.406991 48.841519, 2.407265 48.839731, 2.404554 48.839546))",891fb46450bffff
CRS3035RES200mN2887200E3764200,1199.5,598.0,54.0,294.0,15.0,358.0,47.0,44132201.7,33058.0,593.0,5.0,197.0,343.0,9.0,49.0,0.0,19.0,73.5,36.5,43.5,82.5,88.5,311.0,251.0,122.0,122.0,69.0,0.0,"POLYGON ((2.401842 48.83936, 2.401567 48.841148, 2.404279 48.841334, 2.404554 48.839546, 2.401842 48.83936))",891fb464557ffff
CRS3035RES200mN2887400E3764200,1986.0,1019.0,119.0,521.0,42.0,320.0,101.0,71757889.1,56660.0,1009.0,10.0,75.0,416.0,309.0,219.0,0.0,205.0,73.5,41.0,105.0,164.0,134.5,435.0,414.0,239.0,271.0,100.0,9.0,"POLYGON ((2.401567 48.841148, 2.401292 48.842936, 2.404004 48.843122, 2.404279 48.841334, 2.401567 48.841148))",891fb46451bffff
CRS3035RES200mN2887400E3764400,639.0,330.0,22.0,146.0,15.0,77.0,35.0,26372654.3,20551.0,326.0,4.0,138.0,123.0,62.0,7.0,0.0,0.0,17.0,11.0,20.0,51.5,44.5,160.0,130.0,83.0,77.0,45.0,0.0,"POLYGON ((2.404279 48.841334, 2.404004 48.843122, 2.406716 48.843307, 2.406991 48.841519, 2.404279 48.841334))",891fb46451bffff
CRS3035RES200mN2887400E3764600,816.0,521.0,53.0,323.0,5.0,197.0,36.0,28391038.6,23904.0,512.0,9.0,255.0,118.0,37.0,110.0,1.0,15.0,31.5,10.5,13.5,29.5,47.0,292.0,139.0,100.0,101.0,52.0,0.0,"POLYGON ((2.406991 48.841519, 2.406716 48.843307, 2.409428 48.843492, 2.409703 48.841704, 2.406991 48.841519))",891fb464503ffff
CRS3035RES200mN2887200E3764600,468.0,215.0,12.0,85.0,12.0,157.0,21.0,19191535.8,14075.0,214.0,1.0,9.0,206.0,0.0,0.0,0.0,0.0,33.0,15.0,26.0,21.0,32.0,111.0,92.0,50.0,58.0,30.0,0.0,"POLYGON ((2.407265 48.839731, 2.406991 48.841519, 2.409703 48.841704, 2.409977 48.839916, 2.407265 48.839731))",891fb46450fffff
CRS3035RES200mN2887000E3764600,979.0,457.0,34.0,170.0,21.0,247.0,44.0,36373004.8,29992.0,456.0,1.0,64.0,339.0,0.0,52.0,2.0,38.0,45.5,13.0,46.0,85.0,63.5,200.0,220.0,120.0,136.0,50.0,0.0,"POLYGON ((2.40754 48.837943, 2.407265 48.839731, 2.409977 48.839916, 2.410252 48.838128, 2.40754 48.837943))",891fb464573ffff
CRS3035RES200mN2887200E3764800,869.0,328.0,58.0,118.0,47.0,0.0,69.0,18369965.3,21487.0,325.0,3.0,328.0,0.0,0.0,0.0,0.0,328.0,45.5,29.0,75.0,104.0,73.0,116.5,184.0,114.0,84.0,35.0,9.0,"POLYGON ((2.409977 48.839916, 2.409703 48.841704, 2.412415 48.841889, 2.412689 48.840101, 2.409977 48.839916))",891fb46450fffff
CRS3035RES200mN2887400E3764800,1451.5,527.0,85.0,168.0,75.0,23.0,97.0,35057966.2,36428.0,527.0,0.0,505.0,3.0,0.0,18.0,1.0,481.0,73.5,35.0,112.0,170.5,143.5,214.0,298.0,165.0,171.0,61.0,8.0,"POLYGON ((2.409703 48.841704, 2.409428 48.843492, 2.412141 48.843677, 2.412415 48.841889, 2.409703 48.841704))",891fb464507ffff
CRS3035RES200mN2887400E3765000,11.5,5.0,0.1,1.8,0.3,3.4,0.4,498982.4,512.5,4.6,0.4,4.0,0.3,0.0,0.7,0.0,0.0,0.5,0.5,0.3,0.9,0.9,1.6,2.7,2.1,1.0,1.0,0.0,"POLYGON ((2.412415 48.841889, 2.412141 48.843677, 2.414853 48.843862, 2.415127 48.842074, 2.412415 48.841889))",891fb464507ffff
CRS3035RES200mN2886800E3764800,9.0,3.7,0.0,1.1,0.5,3.1,0.2,447813.8,376.2,2.9,0.8,0.8,1.4,0.0,1.5,0.0,0.0,0.5,0.2,0.5,0.4,1.0,1.1,1.8,2.1,1.4,0.0,0.0,"POLYGON ((2.410526 48.83634, 2.410252 48.838128, 2.412964 48.838313, 2.413238 48.836525, 2.410526 48.83634))",891fb464577ffff
CRS3035RES200mN2886600E3765600,69.5,33.6,0.0,13.6,1.8,22.7,2.7,3016923.9,2555.6,31.8,1.8,0.9,30.0,0.0,2.7,0.0,0.0,2.7,1.8,6.4,3.6,4.1,9.1,18.2,5.4,11.8,6.4,0.0,"POLYGON ((2.421648 48.835291, 2.421374 48.83708, 2.424086 48.837264, 2.42436 48.835476, 2.421648 48.835291))",891fb464197ffff
CRS3035RES200mN2888400E3765000,944.5,411.0,137.0,167.0,33.0,0.0,77.0,15866131.7,20861.0,411.0,0.0,372.0,0.0,0.0,39.0,0.0,411.0,35.0,16.5,55.0,73.5,58.5,157.0,196.0,134.0,174.0,45.0,0.0,"POLYGON ((2.411042 48.850829, 2.410768 48.852617, 2.41348 48.852802, 2.413755 48.851014, 2.411042 48.850829))",891fb4645b3ffff
CRS3035RES200mN2888400E3764800,824.0,280.0,63.0,72.0,59.0,1.0,51.0,17132593.8,20318.0,280.0,0.0,1.0,0.0,245.0,34.0,0.0,264.0,46.5,27.5,49.0,89.0,57.0,162.0,153.0,101.0,116.0,23.0,0.0,"POLYGON ((2.40833 48.850644, 2.408055 48.852432, 2.410768 48.852617, 2.411042 48.850829, 2.40833 48.850644))",891fb464587ffff
CRS3035RES200mN2888200E3764800,1258.0,500.0,75.0,182.0,54.0,114.0,82.0,32514457.1,33951.0,499.0,1.0,37.0,70.0,284.0,109.0,0.0,318.0,53.0,27.5,68.5,124.5,105.5,256.0,240.0,163.0,170.0,45.0,5.0,"POLYGON ((2.408604 48.848856, 2.40833 48.850644, 2.411042 48.850829, 2.411317 48.849041, 2.408604 48.848856))",891fb4645bbffff
CRS3035RES200mN2888200E3765000,1084.5,440.0,78.0,196.0,58.0,0.0,71.0,21803728.0,25002.0,440.0,0.0,0.0,207.0,149.0,84.0,0.0,439.0,53.0,25.0,93.0,133.5,70.0,210.0,212.0,125.0,126.0,36.0,1.0,"POLYGON ((2.411317 48.849041, 2.411042 48.850829, 2.413755 48.851014, 2.414029 48.849226, 2.411317 48.849041))",891fb4645b3ffff
CRS3035RES200mN2888000E3765000,1842.5,749.0,161.0,255.0,83.0,15.0,170.0,37222029.5,38649.0,749.0,0.0,378.0,371.0,0.0,0.0,0.0,730.0,122.5,50.0,141.0,158.5,122.5,328.0,334.0,219.0,255.0,112.0,0.0,"POLYGON ((2.411591 48.847253, 2.411317 48.849041, 2.414029 48.849226, 2.414304 48.847438, 2.411591 48.847253))",891fb4645bbffff
CRS3035RES200mN2887800E3765000,532.5,232.0,36.0,94.0,22.0,0.0,40.0,12150745.6,12258.0,232.0,0.0,0.0,232.0,0.0,0.0,0.0,90.0,28.0,12.0,32.5,43.0,46.0,102.0,105.0,50.0,82.0,25.0,7.0,"POLYGON ((2.411866 48.845465, 2.411591 48.847253, 2.414304 48.847438, 2.414578 48.84565, 2.411866 48.845465))",891fb4645abffff
CRS3035RES200mN2887600E3765000,4.0,1.8,0.1,0.6,0.1,1.2,0.2,173559.1,178.3,1.6,0.2,1.4,0.1,0.0,0.3,0.0,0.0,0.1,0.2,0.1,0.3,0.3,0.6,0.9,0.7,0.4,0.4,0.0,"POLYGON ((2.412141 48.843677, 2.411866 48.845465, 2.414578 48.84565, 2.414853 48.843862, 2.412141 48.843677))",891fb464507ffff
CRS3035RES200mN2887600E3764800,1567.5,646.0,109.0,246.0,67.0,65.0,107.0,37907221.8,40921.0,645.0,1.0,445.0,154.0,0.0,47.0,0.0,525.0,74.5,39.5,111.5,175.5,96.5,273.0,315.0,171.0,211.0,86.0,14.0,"POLYGON ((2.409428 48.843492, 2.409154 48.84528, 2.411866 48.845465, 2.412141 48.843677, 2.409428 48.843492))",891fb464507ffff
CRS3035RES200mN2887800E3764800,1309.0,578.0,87.0,237.0,55.0,114.0,109.0,34249760.4,34481.0,572.0,6.0,357.0,156.0,0.0,65.0,0.0,357.0,57.0,42.5,75.0,129.5,97.0,256.0,260.0,175.0,166.0,51.0,0.0,"POLYGON ((2.409154 48.84528, 2.408879 48.847068, 2.411591 48.847253, 2.411866 48.845465, 2.409154 48.84528))",891fb464517ffff
CRS3035RES200mN2888000E3764800,929.0,488.0,71.0,241.0,15.0,235.0,51.0,30145427.9,28271.0,488.0,0.0,105.0,300.0,66.0,17.0,0.0,105.0,31.0,9.0,31.5,57.5,72.0,219.0,202.0,116.0,137.0,54.0,0.0,"POLYGON ((2.408879 48.847068, 2.408604 48.848856, 2.411317 48.849041, 2.411591 48.847253, 2.408879 48.847068))",891fb4645bbffff
CRS3035RES200mN2888000E3764600,87.5,47.0,4.0,25.0,2.0,4.0,6.0,2781835.1,3074.0,46.0,1.0,33.0,13.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,10.5,7.0,14.0,25.0,21.0,6.0,2.0,0.0,"POLYGON ((2.406167 48.846883, 2.405892 48.848671, 2.408604 48.848856, 2.408879 48.847068, 2.406167 48.846883))",891fb46458fffff
CRS3035RES200mN2887800E3764600,1983.5,1122.0,152.0,623.0,39.0,512.0,75.0,71658667.9,56763.0,1104.0,18.0,416.0,237.0,222.0,247.0,0.0,50.0,74.5,36.0,84.5,93.0,117.5,550.0,375.0,230.0,291.0,119.0,13.0,"POLYGON ((2.406441 48.845095, 2.406167 48.846883, 2.408879 48.847068, 2.409154 48.84528, 2.406441 48.845095))",891fb464517ffff
CRS3035RES200mN2887600E3764600,1633.5,897.0,98.0,486.0,28.0,386.0,55.0,62232726.9,50237.0,882.0,15.0,415.0,251.0,154.0,77.0,0.0,138.0,56.5,31.0,63.5,87.0,101.5,382.0,341.0,208.0,233.0,130.0,0.0,"POLYGON ((2.406716 48.843307, 2.406441 48.845095, 2.409154 48.84528, 2.409428 48.843492, 2.406716 48.843307))",891fb464503ffff
CRS3035RES200mN2887600E3764400,878.0,532.0,57.0,307.0,6.0,279.0,24.0,36551884.6,30756.0,526.0,6.0,164.0,33.0,269.0,66.0,0.0,11.0,24.0,13.0,25.0,23.0,50.0,237.0,143.0,98.0,169.0,96.0,0.0,"POLYGON ((2.404004 48.843122, 2.403729 48.84491, 2.406441 48.845095, 2.406716 48.843307, 2.404004 48.843122))",891fb46451bffff
CRS3035RES200mN2887600E3764200,1454.5,813.0,115.0,442.0,20.0,204.0,99.0,46825642.5,42582.0,810.0,3.0,573.0,19.0,162.0,58.0,1.0,361.0,43.5,23.0,57.0,101.5,87.0,294.5,312.0,205.0,249.0,81.0,1.0,"POLYGON ((2.401292 48.842936, 2.401017 48.844725, 2.403729 48.84491, 2.404004 48.843122, 2.401292 48.842936))",891fb46451bffff
CRS3035RES200mN2887800E3764200,1118.0,601.0,48.0,288.0,12.0,269.0,42.0,47511523.4,34486.0,586.0,15.0,441.0,76.0,12.0,72.0,0.0,60.0,56.5,17.0,43.5,52.0,60.0,314.0,209.0,131.0,156.0,79.0,0.0,"POLYGON ((2.401017 48.844725, 2.400742 48.846513, 2.403454 48.846698, 2.403729 48.84491, 2.401017 48.844725))",891fb4645c7ffff
CRS3035RES200mN2887800E3764400,1101.5,608.0,78.0,335.0,21.0,220.0,45.0,39387040.8,30691.0,604.0,4.0,425.0,23.0,98.0,62.0,0.0,124.0,43.0,22.5,40.0,76.5,69.5,301.0,218.0,113.0,155.0,63.0,0.0,"POLYGON ((2.403729 48.84491, 2.403454 48.846698, 2.406167 48.846883, 2.406441 48.845095, 2.403729 48.84491))",891fb464513ffff
CRS3035RES200mN2888000E3764400,1454.0,785.0,84.0,382.0,18.0,230.0,57.0,46010557.2,41438.0,784.0,1.0,654.0,9.0,121.0,1.0,0.0,401.0,48.5,28.5,54.0,73.5,64.5,361.0,302.0,189.0,245.0,88.0,0.0,"POLYGON ((2.403454 48.846698, 2.40318 48.848486, 2.405892 48.848671, 2.406167 48.846883, 2.403454 48.846698))",891fb46458bffff
CRS3035RES200mN2888000E3764200,1028.5,616.0,45.0,360.0,15.0,331.0,39.0,42062713.1,33687.0,611.0,5.0,360.0,23.0,101.0,130.0,2.0,0.0,29.0,9.5,31.5,49.0,53.5,298.0,184.0,96.0,175.0,103.0,0.0,"POLYGON ((2.400742 48.846513, 2.400467 48.848301, 2.40318 48.848486, 2.403454 48.846698, 2.400742 48.846513))",891fb46458bffff
CRS3035RES200mN2888200E3764200,859.0,457.0,36.0,232.0,12.0,161.0,31.0,31604945.0,24981.0,457.0,0.0,54.0,291.0,12.0,100.0,0.0,0.0,39.0,23.0,42.0,43.0,53.0,249.0,169.0,72.0,117.0,52.0,0.0,"POLYGON ((2.400467 48.848301, 2.400192 48.850089, 2.402905 48.850274, 2.40318 48.848486, 2.400467 48.848301))",891fb46458bffff
CRS3035RES200mN2888200E3764400,805.0,405.0,47.0,170.0,12.0,40.0,55.0,23340840.0,21213.0,395.0,10.0,346.0,49.0,0.0,10.0,0.0,327.0,40.0,17.5,47.5,39.5,49.5,162.0,169.0,125.0,120.0,35.0,0.0,"POLYGON ((2.40318 48.848486, 2.402905 48.850274, 2.405617 48.850459, 2.405892 48.848671, 2.40318 48.848486))",891fb464583ffff
CRS3035RES200mN2888200E3764600,1158.5,623.0,113.0,350.0,33.0,91.0,49.0,28201107.9,28104.0,622.0,1.0,445.0,50.0,102.0,26.0,0.0,448.0,50.5,18.0,45.0,54.0,66.0,230.0,269.0,194.0,182.0,50.0,0.0,"POLYGON ((2.405892 48.848671, 2.405617 48.850459, 2.40833 48.850644, 2.408604 48.848856, 2.405892 48.848671))",891fb46458fffff
CRS3035RES200mN2888400E3764600,1424.0,824.0,83.0,449.0,15.0,445.0,49.0,48683380.1,42009.0,815.0,9.0,303.0,178.0,186.0,156.0,1.0,36.0,53.0,16.0,35.5,58.0,83.5,424.0,266.0,191.0,220.0,77.0,0.0,"POLYGON ((2.405617 48.850459, 2.405342 48.852247, 2.408055 48.852432, 2.40833 48.850644, 2.405617 48.850459))",891fb464587ffff
CRS3035RES200mN2888400E3764400,2261.0,1135.0,151.0,544.0,60.0,469.0,96.0,74288025.2,60047.0,1128.0,7.0,352.0,278.0,287.0,218.0,0.0,172.0,89.0,41.5,115.0,141.0,137.5,555.0,511.0,278.0,288.0,104.0,1.0,"POLYGON ((2.402905 48.850274, 2.40263 48.852062, 2.405342 48.852247, 2.405617 48.850459, 2.402905 48.850274))",891fb464583ffff
CRS3035RES200mN2888400E3764200,1517.0,793.0,66.0,387.0,23.0,350.0,64.0,60299469.2,47038.0,789.0,4.0,186.0,129.0,358.0,120.0,0.0,0.0,64.0,31.0,72.5,91.5,88.0,432.0,294.0,150.0,205.0,88.0,1.0,"POLYGON ((2.400192 48.850089, 2.399917 48.851877, 2.40263 48.852062, 2.402905 48.850274, 2.400192 48.850089))",891fb46459bffff
CRS3035RES200mN2888600E3764200,1614.5,995.0,158.0,652.0,27.0,356.0,69.0,48315632.6,41522.0,991.0,4.0,450.0,114.0,302.0,128.0,1.0,91.0,63.5,29.5,48.5,69.5,61.5,565.0,325.0,196.0,189.0,63.0,4.0,"POLYGON ((2.399917 48.851877, 2.399642 48.853665, 2.402355 48.85385, 2.40263 48.852062, 2.399917 48.851877))",891fb464593ffff
CRS3035RES200mN2888600E3764400,1638.5,838.0,120.0,449.0,42.0,312.0,78.0,46096276.0,38804.0,836.0,2.0,289.0,133.0,126.0,290.0,0.0,176.0,57.5,30.5,57.0,121.5,126.0,465.0,342.0,218.0,179.0,40.0,2.0,"POLYGON ((2.40263 48.852062, 2.402355 48.85385, 2.405068 48.854035, 2.405342 48.852247, 2.40263 48.852062))",891fb464597ffff
