idcar_200m,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,geometry,h3_index
CRS3035RES200mN2887800E3757600,1578.0,802.0,81.0,366.0,27.0,159.0,69.0,72722406.3,49546.0,799.0,3.0,251.0,18.0,180.0,353.0,0.0,161.0,55.5,35.5,66.5,98.0,125.5,321.0,362.0,240.0,197.0,77.0,0.0,"POLYGON ((2.311524 48.838574, 2.311246 48.840362, 2.313958 48.840549, 2.314236 48.838761, 2.311524 48.838574))",891fb46701bffff
CRS3035RES200mN2888000E3757600,1222.0,665.0,77.0,348.0,24.0,175.0,49.0,49665706.7,37242.0,649.0,16.0,330.0,237.0,55.0,43.0,0.0,38.0,61.0,26.0,50.5,77.0,63.5,355.0,221.0,133.0,165.0,70.0,0.0,"POLYGON ((2.311246 48.840362, 2.310968 48.842149, 2.31368 48.842337, 2.313958 48.840549, 2.311246 48.840362))",891fb467013ffff
CRS3035RES200mN2888000E3757400,389.0,220.0,23.0,126.0,9.0,83.0,6.0,17953285.8,13064.0,213.0,7.0,108.0,0.0,58.0,54.0,0.0,7.0,6.0,4.0,13.5,25.5,29.0,108.0,73.0,43.0,58.0,29.0,0.0,"POLYGON ((2.308534 48.840174, 2.308256 48.841962, 2.310968 48.842149, 2.311246 48.840362, 2.308534 48.840174))",891fb4670c7ffff
CRS3035RES200mN2888000E3757200,1490.5,810.0,90.0,426.0,37.0,397.0,53.0,61093844.0,47362.0,795.0,15.0,335.0,270.0,193.0,12.0,0.0,1.0,54.0,26.5,68.5,75.0,112.5,378.0,268.0,138.0,226.0,142.0,2.0,"POLYGON ((2.305823 48.839987, 2.305544 48.841774, 2.308256 48.841962, 2.308534 48.840174, 2.305823 48.839987))",891fb4670c3ffff
CRS3035RES200mN2887800E3757200,1678.5,921.0,133.0,486.0,29.0,175.0,99.0,53144542.7,46496.0,913.0,8.0,574.0,208.0,55.0,82.0,2.0,252.0,58.5,26.5,84.5,92.5,108.5,433.0,317.0,220.0,222.0,109.0,7.0,"POLYGON ((2.306101 48.838199, 2.305823 48.839987, 2.308534 48.840174, 2.308812 48.838386, 2.306101 48.838199))",891fb4670cfffff
CRS3035RES200mN2887600E3757200,1180.5,685.0,71.0,397.0,22.0,322.0,41.0,45345044.6,37236.0,681.0,4.0,218.0,146.0,144.0,177.0,0.0,18.0,49.5,14.0,34.0,62.0,87.0,350.0,194.0,137.0,173.0,80.0,0.0,"POLYGON ((2.306379 48.836411, 2.306101 48.838199, 2.308812 48.838386, 2.309091 48.836599, 2.306379 48.836411))",891fb467053ffff
CRS3035RES200mN2887600E3757000,1409.5,752.0,76.0,375.0,26.0,269.0,67.0,49602120.1,43044.0,748.0,4.0,196.0,197.0,184.0,174.0,1.0,274.0,44.0,20.5,66.5,82.5,75.0,275.0,300.0,170.0,239.0,137.0,0.0,"POLYGON ((2.303668 48.836223, 2.303389 48.838011, 2.306101 48.838199, 2.306379 48.836411, 2.303668 48.836223))",891fb467053ffff
CRS3035RES200mN2887800E3757000,1034.0,555.0,60.0,275.0,16.0,224.0,51.0,40907373.7,33286.0,549.0,6.0,212.0,184.0,61.0,98.0,0.0,116.0,29.5,22.5,40.5,64.5,57.0,241.0,192.0,128.0,180.0,79.0,0.0,"POLYGON ((2.303389 48.838011, 2.303111 48.839799, 2.305823 48.839987, 2.306101 48.838199, 2.303389 48.838011))",891fb4670cbffff
CRS3035RES200mN2888000E3757000,1305.5,720.0,94.0,410.0,21.0,282.0,56.0,47122181.7,36353.0,718.0,2.0,508.0,68.0,78.0,66.0,0.0,62.0,59.0,20.5,74.5,85.5,94.0,364.0,274.0,126.0,141.0,67.0,0.0,"POLYGON ((2.303111 48.839799, 2.302833 48.841587, 2.305544 48.841774, 2.305823 48.839987, 2.303111 48.839799))",891fb4670c3ffff
CRS3035RES200mN2888200E3757000,1198.0,689.0,69.0,388.0,15.0,280.0,41.0,48525708.9,34722.0,678.0,11.0,535.0,53.0,79.0,13.0,9.0,0.0,51.0,13.0,51.5,57.5,87.0,396.0,202.0,119.0,159.0,62.0,0.0,"POLYGON ((2.302833 48.841587, 2.302554 48.843374, 2.305266 48.843562, 2.305544 48.841774, 2.302833 48.841587))",891fb4670c3ffff
